Order_ID,Region,Category,Product,Sales,Profit,Quantity
1001,East,Office Supplies,Notebook,2020,16,2
1002,West,Electronics,Monitor,247,142,6
1003,North,Electronics,Laptop,2676,566,12
1004,East,Clothing,Laptop,1252,835,5
1005,East,Office Supplies,Laptop,2085,770,13
1006,West,Electronics,Phone,527,1064,10
1007,North,Clothing,Desk,1304,544,9
1008,North,Office Supplies,Phone,972,435,12
1009,East,Clothing,Desk,469,1427,5
1010,South,Furniture,Table,2254,681,2
1011,East,Electronics,Phone,2647,372,5
1012,East,Furniture,Phone,1170,1470,12
1013,East,Office Supplies,Notebook,3118,91,4
1014,East,Furniture,Printer,1000,365,11
1015,West,Furniture,Phone,2386,1291,7
1016,North,Office Supplies,Notebook,2293,598,6
1017,West,Clothing,Chair,2695,304,14
1018,West,Furniture,Printer,1907,1257,2
1019,West,Clothing,Table,4662,1079,12
1020,East,Furniture,Phone,1915,1146,11
1021,South,Clothing,Monitor,2962,1266,11
1022,North,Office Supplies,Laptop,2903,26,13
1023,South,Furniture,Chair,4960,369,5
1024,West,Office Supplies,Chair,3278,1256,7
1025,West,Furniture,Table,3769,875,11
1026,South,Office Supplies,Notebook,3278,709,7
1027,South,Office Supplies,Chair,2421,457,5
1028,South,Furniture,Printer,2941,865,12
1029,West,Furniture,Phone,3806,374,9
1030,West,Furniture,Phone,4275,684,4
1031,North,Electronics,Monitor,144,1017,11
1032,North,Clothing,Table,2724,1359,3
1033,West,Electronics,Laptop,2005,476,4
1034,South,Electronics,Notebook,843,423,5
1035,South,Office Supplies,Laptop,1884,1488,13
1036,North,Furniture,Chair,2166,595,6
1037,West,Clothing,Table,4156,1266,3
1038,North,Office Supplies,Monitor,3375,1257,2
1039,North,Electronics,Laptop,2969,1003,14
1040,East,Furniture,Printer,2647,1445,13
1041,East,Office Supplies,Phone,3255,581,4
1042,East,Furniture,Chair,4857,344,5
1043,South,Office Supplies,Monitor,864,1255,4
1044,West,Furniture,Laptop,395,46,14
1045,West,Electronics,Notebook,2399,998,11
1046,West,Clothing,Printer,412,287,13
1047,West,Electronics,Printer,2493,1229,12
1048,East,Clothing,Laptop,2315,925,3
1049,South,Furniture,Phone,2238,493,8
1050,South,Office Supplies,Laptop,3055,1275,10
1051,East,Electronics,Chair,3331,1357,4
1052,South,Clothing,Laptop,1034,740,14
1053,East,Electronics,Printer,1689,201,2
1054,West,Clothing,Monitor,877,1050,2
1055,East,Electronics,Laptop,2780,533,1
1056,West,Clothing,Phone,3581,927,13
1057,West,Clothing,Table,4501,410,4
1058,North,Furniture,Monitor,2985,895,10
1059,East,Clothing,Notebook,3926,714,9
1060,North,Furniture,Desk,176,31,14
1061,East,Clothing,Laptop,3227,483,11
1062,East,Office Supplies,Phone,3106,1153,7
1063,North,Office Supplies,Monitor,653,219,12
1064,North,Office Supplies,Phone,3499,315,10
1065,East,Clothing,Notebook,4196,1303,7
1066,South,Furniture,Printer,3583,713,13
1067,West,Furniture,Phone,3417,696,7
1068,North,Clothing,Monitor,3418,294,8
1069,West,Office Supplies,Phone,3847,725,1
1070,South,Office Supplies,Phone,1842,772,10
1071,South,Furniture,Phone,2911,1260,13
1072,South,Office Supplies,Chair,3526,957,10
1073,North,Electronics,Chair,3467,390,8
1074,South,Furniture,Printer,1695,469,4
1075,North,Office Supplies,Laptop,1255,1040,4
1076,South,Furniture,Phone,3080,38,4
1077,West,Electronics,Notebook,2922,916,6
1078,West,Furniture,Laptop,3122,1066,7
1079,East,Furniture,Notebook,1904,888,6
1080,West,Furniture,Laptop,4071,88,1
1081,East,Furniture,Printer,4712,956,12
1082,West,Electronics,Phone,2758,468,8
1083,North,Clothing,Phone,3552,579,13
1084,West,Furniture,Desk,1382,1463,10
1085,East,Furniture,Notebook,251,747,11
1086,East,Office Supplies,Laptop,3557,1318,13
1087,South,Furniture,Laptop,4262,525,7
1088,North,Office Supplies,Table,624,1132,6
1089,West,Clothing,Table,586,406,6
1090,South,Electronics,Chair,1675,48,5
1091,West,Electronics,Desk,2172,1304,6
1092,West,Clothing,Monitor,435,896,12
1093,South,Electronics,Table,3331,806,9
1094,South,Clothing,Monitor,524,166,10
1095,South,Clothing,Chair,467,1108,9
1096,South,Clothing,Chair,3650,893,10
1097,South,Electronics,Chair,1004,1163,8
1098,West,Office Supplies,Notebook,4908,983,10
1099,South,Clothing,Notebook,1255,1117,9
1100,North,Furniture,Printer,4809,1055,13
1101,East,Electronics,Printer,4170,1492,10
1102,South,Clothing,Chair,2040,858,8
1103,South,Clothing,Desk,4855,1415,8
1104,West,Furniture,Laptop,3622,757,1
1105,South,Office Supplies,Notebook,4430,1473,10
1106,South,Office Supplies,Desk,4208,998,11
1107,South,Office Supplies,Phone,4807,30,5
1108,West,Clothing,Notebook,2763,312,4
1109,South,Clothing,Notebook,2253,878,2
1110,East,Clothing,Printer,3170,93,8
1111,West,Electronics,Laptop,1016,1486,3
1112,East,Furniture,Laptop,4994,1420,4
1113,West,Clothing,Table,3482,1290,12
1114,South,Furniture,Monitor,738,579,7
1115,East,Furniture,Monitor,4293,943,10
1116,West,Office Supplies,Monitor,3751,1195,9
1117,North,Electronics,Monitor,391,1196,2
1118,South,Clothing,Phone,1774,1018,3
1119,West,Office Supplies,Phone,4472,802,4
1120,North,Office Supplies,Notebook,1842,801,10
1121,West,Clothing,Chair,1809,1304,1
1122,North,Furniture,Printer,3262,501,7
1123,South,Office Supplies,Printer,1039,217,2
1124,East,Furniture,Monitor,2312,1093,5
1125,North,Electronics,Notebook,2532,439,1
1126,West,Furniture,Table,1001,994,3
1127,South,Electronics,Desk,772,1342,12
1128,North,Furniture,Chair,3439,529,2
1129,West,Office Supplies,Notebook,2129,600,1
1130,West,Office Supplies,Chair,2767,1060,7
1131,West,Electronics,Chair,2382,208,5
